"日期","渠道","注册数"
"2017-07-07","kuaijiekuan-anzhi","3"
"2017-07-07","kuaijiekuan-baidu","2"
"2017-07-07","kuaijiekuan-huawei","4"
"2017-07-07","kuaijiekuan-oppo","26"
"2017-07-07","kuaijiekuan-sougou","1"
"2017-07-07","kuaijiekuan-vivo","20"
"2017-07-07","kuaijiekuan-yyb","56"
"2017-07-07","qianbaochaoren-vivo","1"
"2017-07-07","qianbaochaoren-yyb","3"
"2017-07-08","AppStore","443"
"2017-07-08","haidaikuan-baidu","9"
"2017-07-08","haidaikuan-oppo","133"
"2017-07-08","haidaikuan-vivo","45"
"2017-07-08","haidaikuan-yyb","394"
"2017-07-08","haijieqian-360","35"
"2017-07-08","haijieqian-anzhi","8"
"2017-07-08","haijieqian-baidu","17"
"2017-07-08","haijieqian-huawei","43"
"2017-07-08","haijieqian-jq-laijiezhijia","10"
"2017-07-08","haijieqian-jq-shundai","24"
"2017-07-08","haijieqian-jq-wangdaixiaomao","1"
"2017-07-08","haijieqian-meizu","11"
"2017-07-08","haijieqian-oppo","102"
"2017-07-08","haijieqian-sougou","3"
"2017-07-08","haijieqian-vivo","75"
"2017-07-08","haijieqian-wandoujia","150"
"2017-07-08","haijieqian-xiaomi","25"
"2017-07-08","haijieqian-yyb","266"
"2017-07-08","hjieqian","9"
"2017-07-08","jisuqiandai-vivo","5"
"2017-07-08","jq-","34"
"2017-07-08","jq-daikuanshequ","2"
"2017-07-08","jq-haohaojie","7"
"2017-07-08","jq-laijiezhijia","159"
"2017-07-08","jq-rongyitui","3"
"2017-07-08","jq-shunda","694"
"2017-07-08","jq-shundai","111"
"2017-07-08","jq-wangdaixiaomao","2"
"2017-07-08","jq-yinhangdai","2"
"2017-07-08","kuaijiekuan-anzhi","2"
"2017-07-08","kuaijiekuan-baidu","1"
"2017-07-08","kuaijiekuan-huawei","6"
"2017-07-08","kuaijiekuan-oppo","28"
"2017-07-08","kuaijiekuan-vivo","18"
"2017-07-08","kuaijiekuan-yyb","24"
"2017-07-08","qianbaochaoren-yyb","1"
"2017-07-09","","1"
"2017-07-09","AppStore","499"
"2017-07-09","haidaikuan-anzhi","2"
"2017-07-09","haidaikuan-baidu","8"
"2017-07-09","haidaikuan-oppo","123"
"2017-07-09","haidaikuan-vivo","45"
"2017-07-09","haidaikuan-yyb","388"
"2017-07-09","haijieqian-360","42"
"2017-07-09","haijieqian-anzhi","6"
"2017-07-09","haijieqian-baidu","18"
"2017-07-09","haijieqian-hjieqian","2"
"2017-07-09","haijieqian-huawei","30"
"2017-07-09","haijieqian-jq-kuailaiqian","1"
"2017-07-09","haijieqian-jq-laijiezhijia","8"
"2017-07-09","haijieqian-jq-shundai","18"
"2017-07-09","haijieqian-meizu","16"
"2017-07-09","haijieqian-oppo","112"
"2017-07-09","haijieqian-sougou","3"
"2017-07-09","haijieqian-vivo","77"
"2017-07-09","haijieqian-wandoujia","141"
"2017-07-09","haijieqian-xiaomi","39"
"2017-07-09","haijieqian-yyb","233"
"2017-07-09","hjieqian","6"
"2017-07-09","jisuqiandai-vivo","2"
"2017-07-09","jq-","20"
"2017-07-09","jq-daikuanshequ","1"
"2017-07-09","jq-haohaojie","12"
"2017-07-09","jq-laijiezhijia","152"
"2017-07-09","jq-miaojiekuan","2"
"2017-07-09","jq-shunda","728"
"2017-07-09","jq-shundai","112"
"2017-07-09","jq-wangdaixiaomao","3"
"2017-07-09","kuaijiekuan-360","1"
"2017-07-09","kuaijiekuan-huawei","7"
"2017-07-09","kuaijiekuan-oppo","31"
"2017-07-09","kuaijiekuan-vivo","25"
"2017-07-09","kuaijiekuan-yyb","26"
"2017-07-09","qianbaochaoren-yyb","2"
"2017-07-10","","2"
"2017-07-10","AppStore","501"
"2017-07-10","haidaikuan-anzhi","1"
"2017-07-10","haidaikuan-baidu","9"
"2017-07-10","haidaikuan-oppo","129"
"2017-07-10","haidaikuan-vivo","54"
"2017-07-10","haidaikuan-yyb","400"
"2017-07-10","haijieqian-360","35"
"2017-07-10","haijieqian-anzhi","5"
"2017-07-10","haijieqian-baidu","16"
"2017-07-10","haijieqian-hjieqian","1"
"2017-07-10","haijieqian-huawei","34"
"2017-07-10","haijieqian-jq-laijiezhijia","9"
"2017-07-10","haijieqian-jq-shundai","29"
"2017-07-10","haijieqian-meizu","18"
"2017-07-10","haijieqian-oppo","131"
"2017-07-10","haijieqian-sougou","7"
"2017-07-10","haijieqian-vivo","76"
"2017-07-10","haijieqian-wandoujia","152"
"2017-07-10","haijieqian-xiaomi","34"
"2017-07-10","haijieqian-yyb","250"
"2017-07-10","hjieqian","5"
"2017-07-10","jisuqiandai-vivo","5"
"2017-07-10","jq-","23"
"2017-07-10","jq-daikuanshequ","2"
"2017-07-10","jq-haohaojie","9"
"2017-07-10","jq-kuailaiqian","2"
"2017-07-10","jq-laijiezhijia","140"
"2017-07-10","jq-rongyitui","1"
"2017-07-10","jq-shunda","691"
"2017-07-10","jq-shundai","116"
"2017-07-10","jq-wangdaixiaomao","1"
"2017-07-10","jq-yingyanqianbao","2"
"2017-07-10","jq-yinhangdai","1"
"2017-07-10","kuaijiekuan-baidu","3"
"2017-07-10","kuaijiekuan-huawei","5"
"2017-07-10","kuaijiekuan-oppo","31"
"2017-07-10","kuaijiekuan-sougou","2"
"2017-07-10","kuaijiekuan-vivo","24"
"2017-07-10","kuaijiekuan-yyb","24"
"2017-07-10","qianbaochaoren-yyb","1"
"2017-07-11","","1"
"2017-07-11","AppStore","462"
"2017-07-11","haidaikuan-baidu","3"
"2017-07-11","haidaikuan-oppo","152"
"2017-07-11","haidaikuan-sougou","3"
"2017-07-11","haidaikuan-vivo","51"
"2017-07-11","haidaikuan-yyb","432"
"2017-07-11","haijieqian-360","31"
"2017-07-11","haijieqian-anzhi","2"
"2017-07-11","haijieqian-baidu","22"
