"日期","渠道","首贷订单数"
"2017-07-04","haijieqian-oppo01","19"
"2017-07-04","haijieqian-sougou","2"
"2017-07-04","haijieqian-vivo","95"
"2017-07-04","haijieqian-vivo01","12"
"2017-07-04","haijieqian-wandoujia","193"
"2017-07-04","haijieqian-wxgz","1"
"2017-07-04","haijieqian-xiaomi","59"
"2017-07-04","haijieqian-yingyongbao","4"
"2017-07-04","haijieqian-yingyonghui","2"
"2017-07-04","haijieqian-yyb","341"
"2017-07-04","haijieqian-yyb01","55"
"2017-07-04","hjieqian","10"
"2017-07-04","jq-","13"
"2017-07-04","jq-haohaojie","2"
"2017-07-04","jq-laijiezhijia","133"
"2017-07-04","jq-rongyitui","2"
"2017-07-04","jq-shunda","562"
"2017-07-04","jq-shundai","104"
"2017-07-04","jq-wangdaixiaomao","3"
"2017-07-04","jq-yingyanqianbao","1"
"2017-07-04","kuaijiekuan-360","2"
"2017-07-04","kuaijiekuan-anzhi","3"
"2017-07-04","kuaijiekuan-baidu","12"
"2017-07-04","kuaijiekuan-huawei","8"
"2017-07-04","kuaijiekuan-oppo","40"
"2017-07-04","kuaijiekuan-sougou","3"
"2017-07-04","kuaijiekuan-vivo","33"
"2017-07-04","kuaijiekuan-yyb","28"
"2017-07-05","AppStore","397"
"2017-07-05","haidaikuan-anzhi","3"
"2017-07-05","haidaikuan-baidu","16"
"2017-07-05","haidaikuan-oppo","119"
"2017-07-05","haidaikuan-sougou","5"
"2017-07-05","haidaikuan-vivo","54"
"2017-07-05","haidaikuan-yingyonghui","1"
"2017-07-05","haidaikuan-yyb","414"
"2017-07-05","haijieqian-360","39"
"2017-07-05","haijieqian-anzhi","21"
"2017-07-05","haijieqian-AppStore","170"
"2017-07-05","haijieqian-baidu","14"
"2017-07-05","haijieqian-baidushichang","1"
"2017-07-05","haijieqian-bd01","3"
"2017-07-05","haijieqian-h360","9"
"2017-07-05","haijieqian-haijieqian","1"
"2017-07-05","haijieqian-hjieqian","26"
"2017-07-05","haijieqian-huawei","9"
"2017-07-05","haijieqian-hw01","3"
"2017-07-05","haijieqian-jq-","3"
"2017-07-05","haijieqian-jq-daikuanwang","1"
"2017-07-05","haijieqian-jq-haohaojie","18"
"2017-07-05","haijieqian-jq-huijiejiekuan","10"
"2017-07-05","haijieqian-jq-huishuaka","1"
"2017-07-05","haijieqian-jq-jinrong58","1"
"2017-07-05","haijieqian-jq-laijieqian","3"
"2017-07-05","haijieqian-jq-laijiezhijia","86"
"2017-07-05","haijieqian-jq-qianxin","1"
"2017-07-05","haijieqian-jq-rongyitui","8"
"2017-07-05","haijieqian-jq-shanyin","5"
"2017-07-05","haijieqian-jq-shunda","110"
"2017-07-05","haijieqian-jq-shundai","29"
"2017-07-05","haijieqian-jq-souyijie","16"
"2017-07-05","haijieqian-jq-wangdaixiaomao","1"
"2017-07-05","haijieqian-jq-yuyongjinfu","5"
"2017-07-05","haijieqian-jq-zhidejie","11"
"2017-07-05","haijieqian-leshi","6"
"2017-07-05","haijieqian-meizu","4"
"2017-07-05","haijieqian-mz01","4"
"2017-07-05","haijieqian-oppo","124"
"2017-07-05","haijieqian-oppo01","24"
"2017-07-05","haijieqian-sougou","4"
"2017-07-05","haijieqian-vivo","81"
"2017-07-05","haijieqian-vivo01","14"
"2017-07-05","haijieqian-wandoujia","178"
"2017-07-05","haijieqian-xiaomi","56"
"2017-07-05","haijieqian-yingyongbao","8"
"2017-07-05","haijieqian-yingyonghui","2"
"2017-07-05","haijieqian-yyb","344"
"2017-07-05","haijieqian-yyb01","53"
"2017-07-05","hjieqian","4"
"2017-07-05","jq-","9"
"2017-07-05","jq-haohaojie","7"
"2017-07-05","jq-laijiezhijia","119"
"2017-07-05","jq-qingsongjie","4"
"2017-07-05","jq-shunda","506"
"2017-07-05","jq-shundai","106"
"2017-07-05","jq-wangdaixiaomao","2"
"2017-07-05","jq-yingyanqianbao","2"
"2017-07-05","kuaijiekuan-360","1"
"2017-07-05","kuaijiekuan-baidu","8"
"2017-07-05","kuaijiekuan-huawei","7"
"2017-07-05","kuaijiekuan-nduo","1"
"2017-07-05","kuaijiekuan-oppo","47"
"2017-07-05","kuaijiekuan-sougou","1"
"2017-07-05","kuaijiekuan-vivo","38"
"2017-07-05","kuaijiekuan-yingyonghui","1"
"2017-07-05","kuaijiekuan-yyb","41"
"2017-07-06","","1"
"2017-07-06","AppStore","419"
"2017-07-06","haidaikuan-baidu","10"
"2017-07-06","haidaikuan-oppo","147"
"2017-07-06","haidaikuan-sougou","1"
"2017-07-06","haidaikuan-vivo","52"
"2017-07-06","haidaikuan-yyb","346"
"2017-07-06","haijieqian-360","48"
"2017-07-06","haijieqian-anzhi","23"
"2017-07-06","haijieqian-anzhuosc","1"
"2017-07-06","haijieqian-AppStore","202"
"2017-07-06","haijieqian-baidu","15"
"2017-07-06","haijieqian-bd01","5"
"2017-07-06","haijieqian-bugu","1"
"2017-07-06","haijieqian-h360","7"
"2017-07-06","haijieqian-hjieqian","18"
"2017-07-06","haijieqian-huawei","3"
"2017-07-06","haijieqian-hw01","3"
"2017-07-06","haijieqian-jq-","2"
"2017-07-06","haijieqian-jq-daikuanshequ","1"
"2017-07-06","haijieqian-jq-daikuanwang","2"
"2017-07-06","haijieqian-jq-haohaojie","9"
"2017-07-06","haijieqian-jq-huijiejiekuan","8"
"2017-07-06","haijieqian-jq-huishuaka","3"
"2017-07-06","haijieqian-jq-jinrong58","1"
"2017-07-06","haijieqian-jq-laijieqian","8"
"2017-07-06","haijieqian-jq-laijiezhijia","88"
"2017-07-06","haijieqian-jq-rongyitui","8"
"2017-07-06","haijieqian-jq-shanyin","3"
"2017-07-06","haijieqian-jq-shunda","116"
"2017-07-06","haijieqian-jq-shundai","33"
"2017-07-06","haijieqian-jq-souyijie","10"
"2017-07-06","haijieqian-jq-yuyongjinfu","5"
"2017-07-06","haijieqian-jq-zhidejie","4"
"2017-07-06","haijieqian-leshi","3"
"2017-07-06","haijieqian-liantongwo","1"
"2017-07-06","haijieqian-meizu","5"
"2017-07-06","haijieqian-mz01","1"
"2017-07-06","haijieqian-oppo","103"
"2017-07-06","haijieqian-oppo01","19"
"2017-07-06","haijieqian-sougou","5"
"2017-07-06","haijieqian-vivo","97"
"2017-07-06","haijieqian-vivo01","14"
"2017-07-06","haijieqian-wandoujia","161"
"2017-07-06","haijieqian-xiaomi","59"
"2017-07-06","haijieqian-yingyongbao","19"
"2017-07-06","haijieqian-yingyonghui","1"
"2017-07-06","haijieqian-yyb","312"
"2017-07-06","haijieqian-yyb01","50"
"2017-07-06","hjieqian","6"
"2017-07-06","jq-","14"
"2017-07-06","jq-haohaojie","2"
"2017-07-06","jq-jieqiankuaiche","1"
"2017-07-06","jq-laijiezhijia","115"
"2017-07-06","jq-miaojiekuan","1"
"2017-07-06","jq-qianxin","1"
"2017-07-06","jq-qingsongjie","4"
"2017-07-06","jq-shunda","494"
"2017-07-06","jq-shundai","97"
"2017-07-06","jq-wangdaixiaomao","3"
"2017-07-06","jq-yinhangdai","1"
"2017-07-06","kuaijiekuan-360","2"
"2017-07-06","kuaijiekuan-anzhi","2"
"2017-07-06","kuaijiekuan-baidu","10"
"2017-07-06","kuaijiekuan-huawei","11"
"2017-07-06","kuaijiekuan-nduo","1"
"2017-07-06","kuaijiekuan-oppo","51"
"2017-07-06","kuaijiekuan-sougou","1"
